Date,Time,Type,Owner/operator,Total airframe hrs,Fatalities,Location,Phase,Nature,Departure airport,Destination airport,Narrative
Wednesday 8 January 2003,16:43,Avro RJ100,THY Turkish Airlines,19289,75,"0,9 km S of Diyarbakir Airport (DIY) - 
	   Turkey",Approach,Passenger - Scheduled,Istanbul-Atatürk International Airport (IST/LTBA),Diyarbakir Airport (DIY/LTCC),"THY Turkish Airlines flight 634, an Avro RJ100 named 'Konya', crashed while on a VOR/DME approach to runway 34 at Diyarbakir Airport (DIY) in limited visibility conditions due to fog. The aircraft broke up after impacting the ground some 900 m short of the runway.  Diyarbakir's runway 34 was not equipped with ILS.  CONCLUSION 1. The Flight Crew insisted on landing despite reaching the MDA at an altitude of 2800 ft and no approach lights or runway was visible. 2. Bad weather conditions contributed to the cause of the accident."
Monday 28 November 2016,21:58,Avro RJ85,LaMia,21640,71,"18 km S of Rionegro/Medellín-José María Córdova Airport (MDE) - 
	   Colombia",En route,Passenger - Non-Scheduled/charter/Air Taxi,Santa Cruz-Viru Viru International Airport (VVI/SLVR),Rionegro/Medellín-José María Córdova Airport (MDE/SKRG),"LaMia flight 2933, an Avro RJ85, was destroyed after impacting a wooded hillside south of Rionegro/Medellín Airport, Colombia. The aircraft carried the Brazilian Chapecoense football team for a match to Medellin.  Six of the 77 occupants have survived the accident. One flight attendant and four passengers survived with serious injuries and one passenger sustained minor injuries. The initial plans were for LaMia to fly the Brazilian Chapecoense football team from São Paulo, Brazil to Medellin for the first leg of the 2016 Copa Sudamericana Finals against Atlético Nacional. A refueling stop was planned at Cobija in northern Bolivia. LaMia requested a permit to fly from the Brazilian aviation authorities, ANAC, but this was denied as there were no provisions in the current aviation agreements between Brazil and Bolivia to allow such a commercial flight. The Chapecoense team was then flown to Santa Cruz in Bolivia on a regular commercial flight. This routing caused delays to the schedule and Cobija could no longer be used to refuel because of night time closure of the airport, according to the LaMia's general director. The distance of the flight planned from Santa Cruz to Medellín was 2983 km. The flight plan of LMI2933 showed an estimated flying time of 4 hours and 22 minutes and a fuel endurance of the same time. The flight crew calculated the takeoff weight to be 41,610 kgs, which was just below the maximum takeoff weight of 41,800 kgs. Investigators believe the luggage weight was underestimated and that the actual takeoff weight was 42,148 kgs. At 22:08 UTC the engines of the RJ85 were started and permission was received to taxi to runway 34 for departure. Flight LMI2933 took off from runway 34 at Santa Cruz-Viru Viru Airport at 22:18 UTC. The flight initially climbed to FL280 and later, at 23:54 UTC it climbed to FL300. En route the crew repeatedly spoke about the fuel calculations and the possibility of landing at Leticia or Bogotá to refuel, but it was decided to continue to Rionegro/Medellín. At 01:15 UTC the cockpit voice recorder (CVR) stopped recording. At 02:36 hours, as the aircraft was descending through FL250, the Master Caution sounded in the fight deck, notifying the flight crew that they had 20 minutes worth of fuel left.  At 02:42 the Medellin Approach controller cleared the flight to continue their descent to FL210 and to head for the GEMLI RNAV point which is located about 30 km short of the runway 01 threshold at Rionegro/Medellín Airport. At the same time, a VivaColombia Airbus A320, flight FC8170 from Bogotá to San Andrés, was diverting to Rionegro/Medellín due to indications of a fuel leak. Three other aircraft were in a holding pattern at FL190, FL180 and FL170. At 02:45 UTC the flight reported entering the holding at GEMLI at FL210.  Four minutes later the flight requested priority for landing because of ""problems with the fuel"". The controller then stated that she would get back with vectors to the localizer and that it would take seven minutes before they could commence their approach. The controller then cleared a preceding flight, LAN3020, to start the approach. At 02:52 UTC the controller reported to LMI2933 that there was another aircraft holding below them and asked if they could hold a little while longer. The flight then responded that they had a fuel emergency and requested a final approach course and immediate descent clearance. The controller cleared the flight to turn right before it could initiate descent. She subsequently cancelled the approach clearance of LAN3020. At 02:53 selected full flaps and undercarriage down and used speed brakes in their descent. Then engine no.3 automatically shut down due to fuel exhaustion, followed by engine no.4. The flight crew did not notify the controller of this, but requested permission to immediately join the localizer. The controller assumed they were still at FL210, but the flight crew stated they were already in descent. This forced the controller to issue instructions to the other aircraft in the holding pattern to manoeuvre them away from LMI2933. She warned the flight of another aircraft ahead at FL180. LMI2933 responded that the other traffic was on their TCAS above them and that they were on final approach course. At 02:55 UTC engines no. 2 and no. 1 also shut down. At that time the aircraft was at 15,934 feet, 15.5 NM south of the runway 01 threshold. At 02:57 the crew radioed in Spanish that they had suffered a ""total electric total eh fault with no fuel"".  The controller reported that the flight was 0,1 mile from the Rionegro VOR and stated that she could not have altitude information of the flight. LMI2933 then reported being at 9000 feet. According to the instrument approach procedure published in the SKRG AIP, the minimum altitude upon passing the Rionegro VOR is 10000 feet. During the last radio contact with the flight, the crew requested vectors for the runway. The controller stated that the flight was 8.2 miles from the runway. The aircraft impacted the top of a hillside at an elevation of about 2600 m. Part of the wreckage came to rest down the wooded hillside right next to the RNG VOR beacon, 18 km short of runway 01.  Probable causes: Inappropriate planning and flight execution because the amount of fuel required to fly from the airport of destination to an alternate airport nor a quantity of reserve fuel nor the contingency fuel nor the minimum fuel of landing were taken into account, these fuel quantities are required by aeronautical regulations for carrying out this type of international flight like the one made by CP 2339 aircraft. Sequential shutdown of the four (4) engines while the aircraft was in descent performing a holding pattern at GEMLI as a result of the exhaustion of fuel on board. An inadequate decision-making process by the aircraft operating company management as a result of a lack of operational safety assurance. Loss of situational awareness and mistaken decision- making process by the crew who insisted on continuing a flight with an extremely limited amount of fuel. The crew was aware of the low level of remaining fuel; however, the crew members did not take the corrective actions required to land at an aerodrome and refuel, fact that would allow them to continue the flight safely.  Contributing Factors: Premature configuretion of the aircraft for landing during descent in holding pattern at GEMLI since considering the absence of thrust, this configuretion affected the plane's glide distance to Rionegro airport runway. Latent deficiencies in the planning and execution of non-regular transportation flights by the aircraft operator related to insufficient supply of the required amount of fuel. Specific deficiencies in the planning of the flight involved in the accident by the aircraft operator. Lack of oversight and operational control of the flight by the Operator, it did not supervise the planning of the flight nor its execution nor it made a follow-up of the flight that would have allowed to support the crew in making decisions. Absence of timely calls for ""priority"", or declaring an ""emergency"" or others by the aircraft crew members during the flight, and especially when fuel depletion was imminent in the descent phase and when performing a holding pattern which would have alerted air traffic services to provide the necessary support. Organizational and operational noncompliance by the aircraft operator in the implementation of fuel management procedures, as it did not comply in practice with the approval of the Bolivian DGAC in the process of the company certification. Delay in the approach of CP 2933 to Rionegro runway caused by its late priority request, and late emergency declaration for fuel added to heavy traffic at RNG VOR when on holding pattern."
Sunday 12 December 1971,,BAC One-Eleven 412EB,Líneas Aéreas de Nicaragua - LANICA,,1,"San José - 
	   Costa Rica",En route,Passenger - Scheduled,San Salvador/Ilopango International Airport (SAL/MSSS),Managua-Las Mercedes Airport (MGA/MNMG),Three hijackers demanded to be taken to Cuba. Plane stormed/hijackers arrested. Duration of the hijacking: less than 1 day.
Tuesday 25 July 2000,16:44,Aérospatiale / BAC Concorde 101,Air France,11989,109,"Gonesse - 
	   France",En route,Passenger - Non-Scheduled/charter/Air Taxi,Paris-Charles de Gaulle Airport (CDG/LFPG),"New York-John F. Kennedy International Airport, NY (JFK/KJFK)","The Air France Concorde, registered F-BTSC, was to depart Paris-Charles de Gaulle for a flight (4590) to New York-JFK. Departure was delayed by about one hour because the crew had requested a replacement of the thrust reverser pneumatic motor of the no. 2 engine. Also, the rear bogie truck of the left hand main undercarriage was replaced. When all 100 passengers had boarded, the plane taxied to runway 26R (4217 m long). Takeoff weight was calculated to be 186,9 tons, including 95 tons of fuel, which was one tone over the maximum takeoff weight. At 14:42:17 the crew were cleared for takeoff. At 14:42:31, the captain commenced takeoff. At 14:42:54.6, the co-pilot called one hundred knots, then V1 nine seconds later. A few seconds after that, tyre No 2 (right front) on the left main landing gear was destroyed after having run over a strip of metal lost by a Continental Airlines DC-10-30, registered N13067 which departed Paris as flight 055 to Newark five minutes before. The destruction of the tyre in all probability resulted in large pieces of rubber being thrown against the underside of the left wing and the rupture of a part of tank 5. A severe fire broke out under the left wing and around the same time engines 1 and 2 suffered a loss of thrust, severe for engine 2, slight for engine 1. By 14:43:13, as the captain commenced the rotation, the controller informed the crew the presence of flames behind the aircraft. The co-pilot acknowledged this transmission and the flight engineer announced the failure of engine no. 2. Nine seconds later the engine fire alarm sounded and the flight engineer announced ""shut down engine 2"" then the captain called for the ""engine fire"" procedure. A few seconds later, the engine 2 fire handle was pulled and the fire alarm stopped. The co-pilot drew the captain's attention to the airspeed, which was 200 kt. At 14:43:30, the captain called for landing gear retraction. The controller confirmed the presence of large flames behind the aircraft. Twelve seconds later the engine fire alarm sounded again for around 12 seconds. It sounded for the third time at about 14:43:58 and continued until the end of the flight. At 14:43:56, the co-pilot commented that the landing gear had not retracted and made several callouts in relation to the airspeed. Three seconds later, the GPWS alarm sounded several times. The co-pilot informed ATC that they were trying for Le Bourget aerodrome. Then the number 1 engine lost power as well. The aircraft entered a left turn until control was lost, crashing into hotel 'Hotellisimo' and bursting into flames.  PROBABLE CAUSE:  - High-speed passage of a tyre over a part lost by an aircraft that had taken off five minutes earlier and the destruction of the tyre. - The ripping out of a large piece of tank in a complex process of transmission of the energy produced by the impact of a piece of tyre at another point on the tank, this transmission associating deformation of the tank skin and the movement of the fuel, with perhaps the contributory effect of other more minor shocks and /or a hydrodynamic pressure surge. - Ignition of the leaking fuel by an electric arc in the landing gear bay or through contact with the hot parts of the engine with forward propagation of the flame causing a very large fire under the aircraft's wing and severe loss of thrust on engine 2 then engine 1.  In addition, the impossibility of retracting the landing gear probably contributed to the retention and stabilisation of the flame throughout the flight."
Saturday 14 August 2021,,Beriev Be-200ChS,Russian Navy,,8,"near Kahramanmaras - 
	   Turkey","Manoeuvring  (airshow, firefighting, ag.ops.)",Fire fighting,,,A Russian Beriev Be-200 amphibious firefighting aircraft impacted a mountainside while fighting forest fires in Turkey. All occupants died in the crash. The aircraft was one of three Be-200's sent to Turkey on July 8 to help the General Directorate of Forestry fight the wildfires.
Friday 17 September 1965,07:24,Boeing 707-121B,Pan American World Airways (Pan Am),19127,30,"Chances Peak - 
	   Montserrat",En route,Passenger - Scheduled,Fort de France-Lamentin Airport (FDF/TFFF),Antigua-Coolidge International Airport (ANU/TAPA),"A Boeing 707-121B passenger plane, operated by Pan American World Airways, was destroyed when it flew into the side of Chances Peak, Montserrat. All 21 passengers and nine crew members were killed. PanAm Flight PA-292 operated on a scheduled service from Fort de France, Martinique (FDF) to New York with en route stops at Antigua (ANU), St. Croix, Virgin Islands (STX), and San Juan, Puerto Rico (SJU). An IFR flight plan had been filed for the 30-minute leg to Antigua. Cruising altitude would be FL165. The Boeing 707, named ""Clipper Constitution"", took off from Fort de France's runway 27 at 11:04 UTC. Cruising altitude was reached at 11:09. The crew established radio contact with the Antigua controller at 11:15. The controller cleared the flight to the Coolidge NDB beacon at 2500 feet and told the crew to report at the beacon outbound leaving 2500 feet or field in sight. At approximately 11:25 the flight reported through FL40 with the field not yet in sight. At the same time the airplane was observed flying along the coast of the island of Montserrat in rain and below the clouds with landing gear down and flaps partially extended. Shortly afterwards the airplane struck a mountain at an elevation of 2760 feet asl and 242 feet below the summit.  Weather was poor with thunderstorms, towering cumulus, heavy rains.  CAUSE: ""The accident was the result of the aircraft descending below a safe height when its position had not been accurately established. """
Friday 22 June 1962,04:03,Boeing 707-328,Air France,,113,"25 km WNW of Pointe-à-Pitre-Le Raizet Airport (PTP) - 
	   Guadeloupe",Approach,Passenger - Scheduled,"Santa Maria-Vila do Porto Airport, Azores (SMA/LPAZ)",Pointe-à-Pitre-Le Raizet Airport (PTP/TFFR),"A Boeing 707-328, operated by Air France, was destroyed when it crashed into a hillside near Pointe-à-Pitre, Guadeloupe. All 113 on board were killed. The aircraft, named ""Chateau de Chantilly"", operated flight 117 from Paris-Orly (France) to Santiago (Chile) with en route stops at Lisbon (Portugal), Santa Maria (Azores), Pointe-à-Pitre (Guadeloupe), Caracas (Venezuela), Bogotá (Colombia) and Lima (Peru). The VOR at Le Raizet Airport was unserviceable when the flight approached Guadeloupe at night. Weather conditions were poor; a violent thunderstorm existed in the area and visibility was 10 km and a ceiling of 1000 feet within the squall. The crew reported over the NDB at 5000 feet and carried out a turn back towards the east to begin its final approach. Incorrect ADF indications, as a result of the thunderstorm, caused the plane to stray 15 km off the procedural let-down track. The Boeing 707 then crashed into a forest on a hill at an altitude of about 1400 feet.  PROBABLE CAUSE: 1) Breakdown of the VOR; 2) insufficient meteorological information given to the crew; 3) the atmospheric effects on the ADF indicator."
Friday 8 December 1972,,Boeing 720-060B,Ethiopian Airlines,,6,"Addis Ababa-Haile Selassie I International Airport (ADD) - 
	   Ethiopia",En route,Passenger - Scheduled,Addis Ababa-Haile Selassie I International Airport (ADD/HAAB),Asmara International Airport (ASM/HAAY),"Ethiopian Airlines Flight 708 was an international service from Addis Ababa (ADD) to Asmara, Athens, Rome and Paris. Some 13 minutes after departure five men and two women stood up, pulled out guns and began shouting orders in Amharic. Security guards opened fire and killed six of the hijackers. The seventh was injured. During the shooting one of the hijackers activated a grenade. One of the passengers picked up the grenade and lobbed it toward an unoccupied part of the passenger cabin. The grenade exploded, damaging an inboard engine as well as the plane's rudder controls. Smoke filled the cabin. The pilot returned to Addis Ababa for an emergency landing. The hijackers were members of the Eritrean Liberation Front."
Sunday 5 January 1969,01:34,Boeing 727-113C,Ariana Afghan Airlines,1715,48,"2,5 km E of London-Gatwick Airport (LGW) - 
	   United Kingdom",Approach,Passenger - Scheduled,Frankfurt International Airport (FRA/EDDF),London-Gatwick Airport (LGW/EGKK),"Ariana Afghan Airlines Flight 701 departed Kabul on a flight to London-Gatwick. Intermediate stops were made at Kandahar, Beirut, Istanbul and Frankfurt. Prior to leaving Frankfurt the crew obtained the weather information of the London area. The RVR at Gatwick was 100 metres in freezing fog and no improvement was expected before 06:00 UTC the following morning. The visibility at Stansted was 2 km. The aircraft left Frankfurt at 00:36 UTC. After contacting London Airways at 01:13 the crew learned that runway 27 was in use at Gatwick and that the RVR was still 100 metres. The aircraft called Gatwick Approach at 01:27, reporting at FL50. The crew confirmed that they wanted to make an approach and were then cleared to 2,000 feet. The flight was vectored to capture the ILS. At 01:29 hrs the captain told ATC that in the event of a go-around he would proceed to the Mayfield NDB and then to London-Heathrow. Two minutes later, about 8 miles from touchdown the captain informed ATC that the aircraft was established on the ILS localiser. After the undercarriage was lowered the captain asked the flight engineer to warn him if the ""stabilizer out of trim"" warning light illuminated as it had done before while on approach to Frankfurt. After intercepting the glideslope the descent from 2,000 feet was started. At that point the ""stabilizer out of trim"" warning light illuminated. The engineer warned the captain who then saw that the autopilot was trimming the aircraft nose-down. Thinking this was wrong he disconnected the autopilot and re-trimmed the aircraft slightly nose-up. The aircraft crossed the ILS outer marker on the glide slope at 01:33 and the captain called for 30° flap, which the co-pilot set. As the flaps extended the rate of descent increased and the aircraft began to go below the glide-slope. The pilots remained unaware of the deviation from the glide-slope for some time. After the copilot called at 400 feet, the captain tried to trim the aircraft nose-up. There seemed to be no response. Both pilots then pulled back on the control column and at the same time the commander applied full power. The aircraft continued to descend and seconds later, as the nose began to rise in response to the application of elevator and power, it brushed through tree tops, knocked a chimney pot off a house, and then collided with tree trunks. This impact removed part of the starboard wing and the aircraft began to roll to the right. The aircraft broke clear of the trees and the starboard main wheels touched the ground in a field. The aircraft became airborne again, still rolling to the right, in a nose high attitude. Then the aft end of the fuselage collided with a house, which it demolished, and the aircraft disintegrated.  CAUSE: ""The accident was the result of the commander inadvertently allowing the aircraft to descend below the glide slope during the final stage of an approach to land until it was too low for recovery to be effected."""
Thursday 18 October 1973,,Boeing 727-228,Air France,,1,"Marseille-Marignane Airport (MRS) - 
	   France",Unknown,Passenger - Scheduled,Paris-Orly Airport (ORY/LFPO),Nice-Côte d'Azur Airport (NCE/LFMN),"The Air France Boeing 727 was hijacked by a female passenger. She wanted to protest against the release of the film The Mad Adventures of Rabbi Jacob which was being promoted by her husband, Georges Cravenne and which she considered ""anti-Palestinian"". After the release of all passengers, the plane was stormed and the hijacker was shot and killed."
